frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.15872777,-0.15872777,-0.15872906,-0.15872777,-0.15872777,0.0,1.296401e-06,0.0,0.0
2,-0.31744182,-0.31744182,-0.3174319,-0.31744182,-0.31744182,0.0,9.924173e-06,0.0,0.0
3,-0.4761256,-0.4761256,-0.47603083,-0.4761256,-0.4761256,0.0,9.4771385e-05,0.0,0.0
4,-0.63476497,-0.63476497,-0.5553273,-0.63476497,-0.63476497,0.0,0.07943767,0.0,0.0
5,-0.7933452,-0.7933452,-0.5949561,-0.7933452,-0.7933452,0.0,0.19838911,0.0,0.0
6,-0.95185167,-0.95185167,-0.61503863,-0.95185167,-0.95185167,0.0,0.33681303,0.0,0.0
7,-1.1102698,-1.1102698,-0.6175218,-1.1102698,-1.1102698,0.0,0.49274796,0.0,0.0
8,-1.268585,-1.268585,-0.6212283,-1.268585,-1.268585,0.0,0.6473567,0.0,0.0
9,-1.426783,-1.426783,-0.6267829,-1.426783,-1.426783,0.0,0.8000001,0.0,0.0
10,-1.5848494,-1.5848494,-0.6351283,-1.5848494,-1.5848494,0.0,0.94972104,0.0,0.0
11,,,-0.64768887,,,,,,
12,,,-0.6524214,,,,,,
13,,,-0.6524214,,,,,,
