frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.15872419,-0.15872419,-0.15872416,-0.15872419,-0.15872419,0.0,2.9802322e-08,0.0,0.0
2,-0.31741312,-0.31741312,-0.31741256,-0.31741312,-0.31741312,0.0,5.662441e-07,0.0,0.0
3,-0.47602913,-0.47602913,-0.47602734,-0.47602913,-0.47602913,0.0,1.7881393e-06,0.0,0.0
4,-0.634537,-0.634537,-0.63453364,-0.634537,-0.634537,0.0,3.33786e-06,0.0,0.0
5,-0.792901,-0.792901,-0.7928942,-0.792901,-0.792901,0.0,6.7949295e-06,0.0,0.0
6,-0.951086,-0.951086,-0.95107114,-0.951086,-0.951086,0.0,1.4841557e-05,0.0,0.0
7,-1.1090572,-1.1090572,-1.1090249,-1.1090572,-1.1090572,0.0,3.2305717e-05,0.0,0.0
8,-1.2667803,-1.2667803,-1.2667111,-1.2667803,-1.2667803,0.0,6.914139e-05,0.0,0.0
9,-1.4242218,-1.4242218,-1.4243188,-1.4242218,-1.4242218,0.0,9.703636e-05,0.0,0.0
10,-1.5813487,-1.5813487,-1.5814363,-1.5813487,-1.5813487,0.0,8.761883e-05,0.0,0.0
