frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.1587298,-0.1587298,-0.039683085,-0.15872979,-0.1587298,0.0,0.11904672,1.4901161e-08,0.0
2,-0.31745815,-0.31745815,-0.07935933,-0.31745815,-0.31745815,0.0,0.23809883,0.0,0.0
3,-0.47618052,-0.47618052,-0.08681466,-0.47618052,-0.47618052,0.0,0.38936585,0.0,0.0
4,-0.6348949,-0.6348949,-0.0942348,-0.6348949,-0.6348949,0.0,0.5406601,0.0,0.0
5,-0.79359865,-0.79359865,-0.099812634,-0.79359865,-0.79359865,0.0,0.693786,0.0,0.0
6,-0.95228904,-0.95228904,-0.10399482,-0.95228904,-0.95228904,0.0,0.84829426,0.0,0.0
7,-1.1109635,-1.1109635,-0.10715804,-1.1109635,-1.1109635,0.0,1.0038054,0.0,0.0
8,-1.2696131,-1.2696131,-0.10715804,-1.2696131,-1.2696131,0.0,1.1624551,0.0,0.0
9,-1.4282467,-1.4282467,,-1.4282467,-1.4282467,0.0,,0.0,0.0
10,-1.5868562,-1.5868562,,-1.5868562,-1.5868562,0.0,,0.0,0.0
