inc,u2_exact,u2_hd,u2_fd,u2_cs,err_hd,err_fd,err_cs
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.039667122,-0.039667122,-0.039667122,-0.039667122,0.0,0.0,0.0
2,-0.07924222,-0.07924222,-0.079242215,-0.07924222,0.0,7.450581e-09,0.0
3,-0.11863573,-0.11863573,-0.11863571,-0.11863573,0.0,2.2351742e-08,0.0
4,-0.15776274,-0.15776274,-0.15776269,-0.15776274,0.0,4.4703484e-08,0.0
5,-0.19654493,-0.19654493,-0.19654486,-0.19654493,0.0,7.4505806e-08,0.0
6,-0.2349121,-0.2349121,-0.23491198,-0.2349121,0.0,1.1920929e-07,0.0
7,-0.27280298,-0.27280298,-0.27280283,-0.27280298,0.0,1.4901161e-07,0.0
8,-0.31016588,-0.31016588,-0.3101657,-0.31016588,0.0,1.7881393e-07,0.0
9,-0.34695858,-0.34695858,-0.34695837,-0.34695858,0.0,2.0861626e-07,0.0
10,-0.38314804,-0.38314804,-0.38314784,-0.38314804,0.0,2.0861626e-07,0.0
11,-0.4187098,-0.4187098,-0.41870958,-0.4187098,0.0,2.3841858e-07,0.0
12,-0.45393404,-0.45393404,-0.45393342,-0.45393404,0.0,6.2584877e-07,0.0
13,-0.48789003,-0.48789003,-0.48789003,-0.48789003,0.0,0.0,0.0
14,-0.5216505,-0.5216505,-0.5216503,-0.5216505,0.0,1.7881393e-07,0.0
15,-0.5544418,-0.5544418,-0.55444145,-0.5544418,0.0,3.5762787e-07,0.0
16,-0.5869406,-0.5869406,-0.58694,-0.5869406,0.0,5.9604645e-07,0.0
17,-0.6183874,-0.6183874,-0.61838704,-0.6183874,0.0,3.5762787e-07,0.0
18,-0.64956754,-0.64956754,-0.64956707,-0.64956754,0.0,4.7683716e-07,0.0
19,-0.6798033,-0.6798033,-0.67980295,-0.6798033,0.0,3.5762787e-07,0.0
20,-0.7097498,-0.7097498,-0.70974934,-0.7097498,0.0,4.7683716e-07,0.0
