frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.13882425,-0.13882425,-0.13882418,-0.13882425,-0.13882425,0.0,7.4505806e-08,0.0,0.0
2,-0.27726194,-0.27726194,-0.2772636,-0.27726194,-0.27726194,0.0,1.66893e-06,0.0,0.0
3,-0.41494498,-0.41494498,-0.41494504,-0.41494498,-0.41494498,0.0,5.9604645e-08,0.0,0.0
4,-0.55151874,-0.55151874,-0.5515189,-0.55151874,-0.55151874,0.0,1.7881393e-07,0.0,0.0
5,-0.68666744,-0.68666744,-0.68666774,-0.68666744,-0.68666744,0.0,2.9802322e-07,0.0,0.0
6,-0.8201125,-0.8201125,-0.82011294,-0.8201125,-0.8201125,0.0,4.172325e-07,0.0,0.0
7,-0.9516178,-0.9516178,-0.9516184,-0.9516178,-0.9516178,0.0,5.9604645e-07,0.0,0.0
8,-1.080991,-1.080991,-1.0809917,-1.080991,-1.080991,0.0,7.1525574e-07,0.0,0.0
9,-1.2080826,-1.2080826,-1.2080834,-1.2080826,-1.2080826,0.0,8.34465e-07,0.0,0.0
10,-1.3327826,-1.3327826,-1.3327837,-1.3327826,-1.3327826,0.0,1.0728836e-06,0.0,0.0
11,-1.4550178,-1.4550178,-1.4550189,-1.4550178,-1.4550178,0.0,1.0728836e-06,0.0,0.0
12,-1.5747459,-1.5747459,-1.5747471,-1.5747459,-1.5747459,0.0,1.1920929e-06,0.0,0.0
13,-1.6919518,-1.6919518,-1.6919531,-1.6919518,-1.6919518,0.0,1.3113022e-06,0.0,0.0
14,-1.8066425,-1.8066425,-1.806644,-1.8066425,-1.8066425,0.0,1.4305115e-06,0.0,0.0
15,-1.9188435,-1.9188435,-1.9188448,-1.9188435,-1.9188435,0.0,1.3113022e-06,0.0,0.0
16,-2.0285938,-2.0285938,-2.0285952,-2.0285938,-2.0285938,0.0,1.4305115e-06,0.0,0.0
17,-2.135944,-2.135944,-2.1359453,-2.135944,-2.135944,0.0,1.4305115e-06,0.0,0.0
18,-2.2409523,-2.2409523,-2.2409534,-2.2409523,-2.2409523,0.0,1.1920929e-06,0.0,0.0
19,-2.3436825,-2.3436825,-2.3436837,-2.3436825,-2.3436825,0.0,1.1920929e-06,0.0,0.0
20,-2.444203,-2.444203,-2.444204,-2.444203,-2.444203,0.0,1.1920929e-06,0.0,0.0
21,-2.5425832,-2.5425832,-2.5425844,-2.5425832,-2.5425832,0.0,1.1920929e-06,0.0,0.0
22,-2.6388948,-2.6388948,-2.6388958,-2.6388948,-2.6388948,0.0,9.536743e-07,0.0,0.0
23,-2.7332084,-2.7332084,-2.7332094,-2.7332084,-2.7332084,0.0,9.536743e-07,0.0,0.0
24,-2.8255947,-2.8255947,-2.8255956,-2.8255947,-2.8255947,0.0,9.536743e-07,0.0,0.0
25,-2.9161224,-2.9161224,-2.9161234,-2.9161224,-2.9161224,0.0,9.536743e-07,0.0,0.0
26,-3.0048594,-3.0048594,-3.0048602,-3.0048594,-3.0048594,0.0,7.1525574e-07,0.0,0.0
27,-3.09187,-3.09187,-3.0918717,-3.09187,-3.09187,0.0,1.66893e-06,0.0,0.0
28,-3.1772194,-3.1772194,-3.1772208,-3.1772194,-3.1772194,0.0,1.4305115e-06,0.0,0.0
29,-3.2609675,-3.2609675,-3.260969,-3.2609675,-3.2609675,0.0,1.4305115e-06,0.0,0.0
30,-3.3431733,-3.3431733,-3.3431742,-3.3431733,-3.3431733,0.0,9.536743e-07,0.0,0.0
31,-3.4238925,-3.4238925,-3.4238935,-3.4238925,-3.4238925,0.0,9.536743e-07,0.0,0.0
32,-3.5039828,-3.5039828,-3.5031803,-3.5039828,-3.5039828,0.0,0.00080251694,0.0,0.0
33,-3.5810857,-3.5810857,-3.5810862,-3.5810857,-3.5810857,0.0,4.7683716e-07,0.0,0.0
34,-3.657748,-3.657748,-3.6576607,-3.657748,-3.657748,0.0,8.72612e-05,0.0,0.0
35,-3.7337477,-3.7337477,-3.7329507,-3.7337477,-3.7337477,0.0,0.0007970333,0.0,0.0
36,-3.8088017,-3.8088017,-3.807001,-3.8088017,-3.8088017,0.0,0.0018005371,0.0,0.0
37,-3.8826349,-3.8826349,-3.879855,-3.8826349,-3.8826349,0.0,0.0027799606,0.0,0.0
38,-3.9550364,-3.9550364,-3.951553,-3.9550364,-3.9550364,0.0,0.0034832954,0.0,0.0
39,-4.0258985,-4.0258985,-4.022657,-4.0258985,-4.0258985,0.0,0.003241539,0.0,0.0
40,-4.095236,-4.095236,-4.0916367,-4.095236,-4.095236,0.0,0.0035991669,0.0,0.0
41,-4.1631756,-4.1631756,-4.1601706,-4.1631756,-4.1631756,0.0,0.0030050278,0.0,0.0
42,-4.229915,-4.229915,-4.2275443,-4.229915,-4.229915,0.0,0.0023708344,0.0,0.0
43,-4.2956715,-4.2956715,-4.294372,-4.2956715,-4.2956715,0.0,0.0012993813,0.0,0.0
44,-4.360624,-4.360624,-4.3604407,-4.360624,-4.360624,0.0,0.00018310547,0.0,0.0
45,-4.424883,-4.424883,-4.4241495,-4.424883,-4.424883,0.0,0.00073337555,0.0,0.0
46,-4.4884825,-4.4884825,-4.487554,-4.4884825,-4.4884825,0.0,0.00092840195,0.0,0.0
47,-4.551398,-4.551398,-4.550728,-4.551398,-4.551398,0.0,0.0006699562,0.0,0.0
48,-4.6135716,-4.6135716,-4.6127405,-4.6135716,-4.6135716,0.0,0.00083112717,0.0,0.0
49,-4.674944,-4.674944,-4.673958,-4.674944,-4.674944,0.0,0.0009860992,0.0,0.0
50,-4.735472,-4.735472,-4.7343874,-4.735472,-4.735472,0.0,0.0010848045,0.0,0.0
51,-4.795148,-4.795148,-4.7942834,-4.795148,-4.795148,0.0,0.00086450577,0.0,0.0
52,-4.8539915,-4.8539915,-4.852965,-4.8539915,-4.8539915,0.0,0.0010266304,0.0,0.0
53,-4.9120493,-4.9120493,-4.9111977,-4.9120493,-4.9120493,0.0,0.00085163116,0.0,0.0
54,-4.9693775,-4.9693775,-4.9686537,-4.9693775,-4.9693775,0.0,0.0007238388,0.0,0.0
55,-5.02603,-5.02603,-5.025464,-5.02603,-5.02603,0.0,0.0005660057,0.0,0.0
56,-5.0820503,-5.0820503,-5.08176,-5.0820503,-5.0820503,0.0,0.00029039383,0.0,0.0
57,-5.1374655,-5.1374655,-5.137109,-5.1374655,-5.1374655,0.0,0.0003566742,0.0,0.0
58,-5.192288,-5.192288,-5.191978,-5.192288,-5.192288,0.0,0.00030994415,0.0,0.0
59,-5.2465224,-5.2465224,-5.2462335,-5.2465224,-5.2465224,0.0,0.00028896332,0.0,0.0
60,-5.300169,-5.300169,-5.299984,-5.300169,-5.300169,0.0,0.00018501282,0.0,0.0
61,-5.3532295,-5.3532295,-5.3529654,-5.3532295,-5.3532295,0.0,0.0002641678,0.0,0.0
62,-5.4057093,-5.4057093,-5.405472,-5.4057093,-5.4057093,0.0,0.0002374649,0.0,0.0
63,-5.4576197,-5.4576197,-5.4574237,-5.4576197,-5.4576197,0.0,0.00019598007,0.0,0.0
64,-5.5089755,-5.5089755,-5.5088744,-5.5089755,-5.5089755,0.0,0.00010108948,0.0,0.0
65,-5.559796,-5.559796,-5.559717,-5.559796,-5.559796,0.0,7.867813e-05,0.0,0.0
66,-5.610097,-5.610097,-5.610084,-5.610097,-5.610097,0.0,1.2874603e-05,0.0,0.0
67,-5.659896,-5.659896,-5.659948,-5.659896,-5.659896,0.0,5.197525e-05,0.0,0.0
68,-5.709207,-5.709207,-5.7093086,-5.709207,-5.709207,0.0,0.000101566315,0.0,0.0
69,-5.758041,-5.758041,-5.758211,-5.758041,-5.758041,0.0,0.00017023087,0.0,0.0
70,-5.806408,-5.806408,-5.806632,-5.806408,-5.806408,0.0,0.00022411346,0.0,0.0
71,-5.8543153,-5.8543153,-5.854594,-5.8543153,-5.8543153,0.0,0.00027894974,0.0,0.0
72,-5.9017715,-5.9017715,-5.9020433,-5.9017715,-5.9017715,0.0,0.00027179718,0.0,0.0
73,-5.9487834,-5.9487834,-5.94918,-5.9487834,-5.9487834,0.0,0.00039672852,0.0,0.0
74,-5.995359,-5.995359,-5.9958234,-5.995359,-5.995359,0.0,0.0004644394,0.0,0.0
75,-6.0415063,-6.0415063,-6.0420456,-6.0415063,-6.0415063,0.0,0.0005393028,0.0,0.0
76,-6.0872335,-6.0872335,-6.0877337,-6.0872335,-6.0872335,0.0,0.0005002022,0.0,0.0
77,-6.1325483,-6.1325483,-6.133262,-6.1325483,-6.1325483,0.0,0.0007138252,0.0,0.0
78,-6.1774592,-6.1774592,-6.1782737,-6.1774592,-6.1774592,0.0,0.00081443787,0.0,0.0
79,-6.2219725,-6.2219725,-6.2228975,-6.2219725,-6.2219725,0.0,0.0009250641,0.0,0.0
80,-6.266095,-6.266095,-6.2671423,-6.266095,-6.266095,0.0,0.0010471344,0.0,0.0
