frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.14214082,-0.14214082,-0.14214082,-0.14214082,-0.14214082,0.0,0.0,0.0,0.0
2,-0.24157533,-0.24157533,-0.24157533,-0.24157533,-0.24157533,0.0,0.0,0.0,0.0
3,-0.31566748,-0.31566748,-0.31566748,-0.31566748,-0.31566748,0.0,0.0,0.0,0.0
4,-0.37544936,-0.37544936,-0.37544936,-0.37544936,-0.37544936,0.0,0.0,0.0,0.0
5,-0.42610165,-0.42610165,-0.42610162,-0.42610165,-0.42610165,0.0,2.9802322e-08,0.0,0.0
6,-0.47041184,-0.47041184,-0.47041184,-0.47041184,-0.47041184,0.0,0.0,0.0,0.0
7,-0.51004845,-0.51004845,-0.51004845,-0.51004845,-0.51004845,0.0,0.0,0.0,0.0
8,-0.54609424,-0.54609424,-0.54609424,-0.54609424,-0.54609424,0.0,0.0,0.0,0.0
9,-0.5792896,-0.5792896,-0.5792896,-0.5792896,-0.5792896,0.0,0.0,0.0,0.0
10,-0.6101685,-0.6101685,-0.6101685,-0.6101685,-0.6101685,0.0,0.0,0.0,0.0
