frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.015869455,-0.015869455,-0.01586944,-0.015869455,-0.015869455,0.0,1.4901161e-08,0.0,0.0
2,-0.031718876,-0.031718876,-0.031718854,-0.031718876,-0.031718876,0.0,2.2351742e-08,0.0,0.0
3,-0.04752299,-0.04752299,-0.047522973,-0.04752299,-0.04752299,0.0,1.4901161e-08,0.0,0.0
4,-0.06325761,-0.06325761,-0.06325757,-0.06325761,-0.06325761,0.0,4.4703484e-08,0.0,0.0
5,-0.07890115,-0.07890115,-0.078901105,-0.07890115,-0.07890115,0.0,4.4703484e-08,0.0,0.0
6,-0.09443388,-0.09443388,-0.094433814,-0.09443388,-0.09443388,0.0,6.7055225e-08,0.0,0.0
7,-0.10983766,-0.10983766,-0.10983764,-0.10983766,-0.10983766,0.0,2.2351742e-08,0.0,0.0
8,-0.12509611,-0.12509611,-0.12509607,-0.12509611,-0.12509611,0.0,4.4703484e-08,0.0,0.0
9,-0.14019479,-0.14019479,-0.14019474,-0.14019479,-0.14019479,0.0,4.4703484e-08,0.0,0.0
10,-0.15512122,-0.15512122,-0.15512118,-0.15512122,-0.15512122,0.0,4.4703484e-08,0.0,0.0
11,-0.16986492,-0.16986492,-0.16986488,-0.16986492,-0.16986492,0.0,4.4703484e-08,0.0,0.0
12,-0.1844173,-0.1844173,-0.18441728,-0.1844173,-0.1844173,0.0,2.9802322e-08,0.0,0.0
13,-0.19877155,-0.19877155,-0.19877152,-0.19877155,-0.19877155,0.0,2.9802322e-08,0.0,0.0
14,-0.21292251,-0.21292251,-0.21292247,-0.21292251,-0.21292251,0.0,4.4703484e-08,0.0,0.0
15,-0.22686653,-0.22686653,-0.2268665,-0.22686653,-0.22686653,0.0,2.9802322e-08,0.0,0.0
16,-0.24060133,-0.24060133,-0.24060129,-0.24060133,-0.24060133,0.0,4.4703484e-08,0.0,0.0
17,-0.2541258,-0.2541258,-0.25412574,-0.2541258,-0.2541258,0.0,5.9604645e-08,0.0,0.0
18,-0.2674399,-0.2674399,-0.26743984,-0.2674399,-0.2674399,0.0,5.9604645e-08,0.0,0.0
19,-0.28054446,-0.28054446,-0.28054446,-0.28054446,-0.28054446,0.0,0.0,0.0,0.0
20,-0.29344112,-0.29344112,-0.29344106,-0.29344112,-0.29344112,0.0,5.9604645e-08,0.0,0.0
21,-0.3061321,-0.3061321,-0.30613208,-0.3061321,-0.3061321,0.0,2.9802322e-08,0.0,0.0
22,-0.31862026,-0.31862026,-0.3186202,-0.31862026,-0.31862026,0.0,5.9604645e-08,0.0,0.0
23,-0.33090875,-0.33090875,-0.33090872,-0.33090875,-0.33090875,0.0,2.9802322e-08,0.0,0.0
24,-0.34300116,-0.34300116,-0.3430011,-0.34300116,-0.34300116,0.0,5.9604645e-08,0.0,0.0
25,-0.3549013,-0.3549013,-0.35490125,-0.3549013,-0.3549013,0.0,5.9604645e-08,0.0,0.0
26,-0.36661324,-0.36661324,-0.36661318,-0.36661324,-0.36661324,0.0,5.9604645e-08,0.0,0.0
27,-0.3781411,-0.3781411,-0.37814105,-0.3781411,-0.3781411,0.0,5.9604645e-08,0.0,0.0
28,-0.38948917,-0.38948917,-0.38948914,-0.38948917,-0.38948917,0.0,2.9802322e-08,0.0,0.0
29,-0.4006618,-0.4006618,-0.40066177,-0.4006618,-0.4006618,0.0,2.9802322e-08,0.0,0.0
30,-0.41166332,-0.41166332,-0.41166326,-0.41166332,-0.41166332,0.0,5.9604645e-08,0.0,0.0
31,-0.42249805,-0.42249805,-0.422498,-0.42249805,-0.42249805,0.0,5.9604645e-08,0.0,0.0
32,-0.4331703,-0.4331703,-0.43317023,-0.4331703,-0.4331703,0.0,5.9604645e-08,0.0,0.0
33,-0.4436843,-0.4436843,-0.44368428,-0.4436843,-0.4436843,0.0,2.9802322e-08,0.0,0.0
34,-0.4540443,-0.4540443,-0.45404428,-0.4540443,-0.4540443,0.0,2.9802322e-08,0.0,0.0
35,-0.46425438,-0.46425438,-0.46425432,-0.46425438,-0.46425438,0.0,5.9604645e-08,0.0,0.0
36,-0.47431853,-0.47431853,-0.4743185,-0.47431853,-0.47431853,0.0,2.9802322e-08,0.0,0.0
37,-0.48424074,-0.48424074,-0.4842407,-0.48424074,-0.48424074,0.0,2.9802322e-08,0.0,0.0
38,-0.4940248,-0.4940248,-0.49402478,-0.4940248,-0.4940248,0.0,2.9802322e-08,0.0,0.0
39,-0.50367445,-0.50367445,-0.50367445,-0.50367445,-0.50367445,0.0,0.0,0.0,0.0
40,-0.51319337,-0.51319337,-0.5131933,-0.51319337,-0.51319337,0.0,5.9604645e-08,0.0,0.0
41,-0.522585,-0.522585,-0.5225849,-0.522585,-0.522585,0.0,5.9604645e-08,0.0,0.0
42,-0.5318527,-0.5318527,-0.5318527,-0.5318527,-0.5318527,0.0,0.0,0.0,0.0
43,-0.54099995,-0.54099995,-0.54099995,-0.54099995,-0.54099995,0.0,0.0,0.0,0.0
44,-0.5500298,-0.5500298,-0.5500298,-0.5500298,-0.5500298,0.0,0.0,0.0,0.0
45,-0.5589455,-0.5589455,-0.5589455,-0.5589455,-0.5589455,0.0,0.0,0.0,0.0
46,-0.56774986,-0.56774986,-0.56774986,-0.56774986,-0.56774986,0.0,0.0,0.0,0.0
47,-0.57644594,-0.57644594,-0.57644594,-0.57644594,-0.57644594,0.0,0.0,0.0,0.0
48,-0.58503646,-0.58503646,-0.58503646,-0.58503646,-0.58503646,0.0,0.0,0.0,0.0
